name,learning_rate,d_model,n_heads,num_layers,ff_dim,dropout,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
seq_d_model_64,0.0005,64,8,1,256,0.0,3,42 101 27,0.9422161109857138,0.004728689068079806,0.9825970548862116,0.0025044560821780373,0.8906746649739569,0.004938661396277563,0.9544606196341917,0.006486803731609845,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_64_seed_101.pt
seq_d_model_128,0.0005,128,8,1,256,0.0,3,42 101 27,0.9525791542851229,0.001271204823693235,0.9839357429718877,0.0016395513673247717,0.8997598221893832,0.0033283697486102544,0.9570735349010825,0.0034615970494571635,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_128_seed_101.pt
seq_d_model_256,0.0005,256,8,1,256,0.0,3,42 101 27,0.953367202615512,0.002441358086610818,0.9819277108433736,0.0028397862698255273,0.8973155852113562,0.005750201052968623,0.9514744307577453,0.0036952202077684664,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_256_seed_42.pt
seq_d_model_384,0.0005,384,8,1,256,0.0,3,42 101 27,0.9535603925122578,0.0014878506216005427,0.9805890227576975,0.0009465954232751758,0.8927299116118602,0.005020396378817751,0.9552071668533034,0.0031673316066586996,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
seq_d_model_512,0.0005,512,8,1,256,0.0,3,42 101 27,0.9527839627009195,0.001992071413568536,0.9779116465863454,0.007146638722912509,0.8924881300955615,0.005036517016511311,0.9395296752519596,0.010779790278606684,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_512_seed_42.pt
seq_n_heads_1,0.0005,384,1,1,256,0.0,3,42 101 27,0.9478621747598467,0.004244362103911249,0.9692101740294512,0.002504456082177988,0.8800234151092602,0.0027808412819977013,0.9395296752519596,0.008722151135160833,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_1_seed_101.pt
seq_n_heads_2,0.0005,384,2,1,256,0.0,3,42 101 27,0.9476567385033082,0.001593782305957911,0.9759036144578314,0.002839786269825475,0.8892760133496821,0.004694558743547549,0.9402762224710712,0.006862551814427095,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_2_seed_42.pt
seq_n_heads_4,0.0005,384,4,1,256,0.0,3,42 101 27,0.9451631547652827,0.0033596720251552075,0.9765729585006694,0.007748217471747133,0.8869325451112622,0.0008226556272153023,0.9440089585666294,0.0009143298778585899,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_4_seed_101.pt
seq_n_heads_8,0.0005,384,8,1,256,0.0,3,42 101 27,0.9535603925122578,0.0014878506216005427,0.9805890227576975,0.0009465954232751758,0.8927299116118602,0.005020396378817751,0.9552071668533034,0.0031673316066586996,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_8_seed_101.pt
seq_n_heads_16,0.0005,384,16,1,256,0.0,3,42 101 27,0.9542077960884052,0.0026189376810263902,0.9812583668005356,0.0009465954232751757,0.8958455121294097,0.004760011764490065,0.9488615154908548,0.0046020261313691685,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_16_seed_27.pt
seq_num_layers_1,0.0005,384,16,1,256,0.0,3,42 101 27,0.9542077960884052,0.0026189376810263902,0.9812583668005356,0.0009465954232751757,0.8958455121294097,0.004760011764490065,0.9488615154908548,0.0046020261313691685,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_1_seed_27.pt
seq_num_layers_2,0.0005,384,16,2,256,0.0,3,42 101 27,0.951644210000112,0.005619190445527401,0.9792503346720215,0.005008912164356035,0.8999767737626332,0.004222945509796299,0.9492347891004106,0.006087908335311719,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_2_seed_27.pt
seq_num_layers_4,0.0005,384,16,4,256,0.0,3,42 101 27,0.9453826835793268,0.00339745644490326,0.9825970548862116,0.004126113790474553,0.8941107553543346,0.002186128510322477,0.9518477043673013,0.01038479114837147,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_4_seed_101.pt
seq_num_layers_6,0.0005,384,16,6,256,0.0,3,42 101 27,0.9495009285153886,0.0016391359833091048,0.9819277108433736,1.1102230246251565e-16,0.8924015808568347,0.005635008714377224,0.9544606196341917,0.004320954424333789,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_6_seed_27.pt
seq_num_layers_8,0.0005,384,16,8,256,0.0,3,42 101 27,0.9456139173260665,0.001760843031921336,0.9745649263721553,0.006626167962926141,0.8923303214468006,0.005514201765135731,0.9488615154908548,0.00503573630579768,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_8_seed_101.pt
seq_ff_dim_64,0.0005,384,16,1,64,0.0,3,42 101 27,0.9539905680857093,0.003160339351761249,0.9812583668005356,0.0025044560821780373,0.898556611805107,0.002923633540718115,0.9473684210526315,0.004838178946179834,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_64_seed_101.pt
